q_learning,tit_for_tat,accumulate_credits,detective,grudger
10.45,11.9,0.0,0.0,10.5
10.45,11.9,0.0,0.0,10.5
10.45,11.9,0.0,0.0,10.5
10.9,9.05,0.0,0.0,6.9
10.9,9.05,0.0,0.0,6.9
10.9,9.05,0.0,0.0,6.9
10.9,9.05,0.0,0.0,6.9
10.9,9.05,0.0,0.0,6.9
8.6,4.5,0.0,0.0,10.55
8.6,4.5,0.0,0.0,10.55
8.6,4.5,0.0,0.0,10.55
8.6,4.5,0.0,0.0,10.55
8.6,4.5,0.0,0.0,10.55
8.7,0.0,0.0,0.0,6.0
8.7,0.0,0.0,0.0,6.0
8.7,0.0,0.0,0.0,6.0
8.7,0.0,0.0,0.0,6.0
8.7,0.0,0.0,0.0,6.0
9.45,0.0,0.0,10.35,0.0
9.45,0.0,0.0,10.35,0.0
9.45,0.0,0.0,10.35,0.0
9.45,0.0,0.0,10.35,0.0
9.45,0.0,0.0,10.35,0.0
11.4,12.0,0.0,0.0,6.0
11.4,12.0,0.0,0.0,6.0
11.4,12.0,0.0,0.0,6.0
11.4,12.0,0.0,0.0,6.0
11.4,12.0,0.0,0.0,6.0
11.1,11.7,6.0,0.0,10.35
11.1,11.7,6.0,0.0,10.35
11.1,11.7,6.0,0.0,10.35
11.1,11.7,6.0,0.0,10.35
11.1,11.7,6.0,0.0,10.35
10.65,13.55,0.0,7.5,10.35
10.65,13.55,0.0,7.5,10.35
10.65,13.55,0.0,7.5,10.35
10.65,13.55,0.0,7.5,10.35
10.65,13.55,0.0,7.5,10.35
9.9,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0
9.9,0.0,0.0,0.0,0.0
11.6,11.25,6.05,0.0,7.55
11.6,11.25,6.05,0.0,7.55
11.6,11.25,6.05,0.0,7.55
11.6,11.25,6.05,0.0,7.55
11.6,11.25,6.05,0.0,7.55
10.05,10.4,12.05,7.55,1.5
10.05,10.4,12.05,7.55,1.5
10.05,10.4,12.05,7.55,1.5
10.05,10.4,12.05,7.55,1.5
10.05,10.4,12.05,7.55,1.5
8.15,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,11.85
9.5,0.0,0.0,0.0,11.85
